Richterhöhe,way/177378546
Athletic Statue,way/184782616
Leopoldskron Hauswirth Statue ,way/184782616
Kirche Seniorenheim Nonntal,way/169228912
Friedrich Schiller Salzburg,way/64132696
Kruzifix noamoi is des a Gegenlicht,way/229122752
Stiegl Fountain,way/180951626
Linden in Freisaal,way/134631799
Linden in Freisaal,way/134631800
Karolinenbruecke,way/190017857
Karolinenbruecke,way/190017858
Mülln Bridge,way/155772924
Thinking Beauty,way/108579975
Geschützter Landschaftsteil Freisaal,way/170226453
Euthanasie Mahnmal,way/23045464
Phänlologischer Kalender,way/111593616
Drei Kreuze von Schallmoos,way/165304949
LBS4 - Storchen Statue,way/154987292
Liliput's Home,way/48959175
Drachen Grafitti,way/190230770
